state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
71,sokoto,15,22,0,37,119,33,152,205,q1 2021,['sokoto'],"['q1', '2021']",True,71.0,46,0,1,0,1,0,1,1,5,0,1,1,0,0,0,0,0,['sokoto'],"['q1', '2021']",57
72,taraba,8,58,1,67,213,12,225,315,q1 2021,['taraba'],"['q1', '2021']",True,72.0,31,0,3,1,0,0,0,3,21,0,1,3,22,0,0,0,19,['taraba'],"['q1', '2021']",104
73,yobe,17,24,1,42,235,35,270,379,q1 2021,['yobe'],"['q1', '2021']",True,73.0,28,0,5,1,0,1,0,6,7,1,1,1,0,0,0,0,0,['yobe'],"['q1', '2021']",51
74,zamfara,8,33,0,41,153,14,167,235,q1 2021,['zamfara'],"['q1', '2021']",True,74.0,29,0,2,0,0,0,1,6,2,0,5,0,1,0,0,0,1,['zamfara'],"['q1', '2021']",47
75,abia,10,11,0,21,69,19,88,177,q2 2021,['abia'],"['q2', '2021']",True,75.0,20,0,1,1,1,1,0,0,3,0,4,0,0,0,0,0,0,['abia'],"['q2', '2021']",31
76,adamawa,11,76,3,90,280,21,301,468,q2 2021,['adamawa'],"['q2', '2021']",True,76.0,70,0,3,3,0,0,0,11,1,0,3,14,0,0,0,0,2,['adamawa'],"['q2', '2021']",107
77,akwa ibom,6,9,1,16,32,10,42,87,q2 2021,"['akwa', 'ibom']","['q2', '2021']",True,77.0,10,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,"['akwa', 'ibom']","['q2', '2021']",16
78,anambra,15,31,20,66,138,18,156,418,q2 2021,['anambra'],"['q2', '2021']",True,78.0,37,0,2,4,38,0,0,6,1,0,6,0,1,0,0,0,5,['anambra'],"['q2', '2021']",100
79,bauchi,33,72,0,105,418,46,464,737,q2 2021,['bauchi'],"['q2', '2021']",True,79.0,55,0,8,5,0,2,0,17,7,0,5,5,1,0,0,0,7,['bauchi'],"['q2', '2021']",112
80,bayelsa,2,5,3,10,19,3,22,42,q2 2021,['bayelsa'],"['q2', '2021']",True,80.0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,['bayelsa'],"['q2', '2021']",7
