id,state,period,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens,period_tokens,total_causes_recorded
130.0,kaduna,q3 2021,118,0,7,3,2,3,0,29,2,2,11,0,0,0,0,1,16,['kaduna'],"['q3', '2021']",194
131.0,kano,q3 2021,16,0,4,0,1,0,0,3,8,0,0,0,0,0,0,0,1,['kano'],"['q3', '2021']",33
132.0,katsina,q3 2021,21,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,['katsina'],"['q3', '2021']",27
133.0,kebbi,q3 2021,41,0,0,1,0,1,0,4,8,0,2,0,0,0,0,1,0,['kebbi'],"['q3', '2021']",58
134.0,kogi,q3 2021,72,0,5,4,7,0,0,9,6,0,8,1,1,0,0,1,21,['kogi'],"['q3', '2021']",135
135.0,kwara,q3 2021,65,0,5,5,3,0,0,7,4,0,1,1,1,0,0,0,14,['kwara'],"['q3', '2021']",106
136.0,lagos,q3 2021,71,1,2,13,15,0,0,9,10,2,8,0,1,0,1,2,0,['lagos'],"['q3', '2021']",135
137.0,nasarawa,q3 2021,126,0,9,1,4,1,0,32,34,0,9,1,0,0,0,0,37,['nasarawa'],"['q3', '2021']",254
138.0,niger,q3 2021,162,2,5,0,2,0,0,27,6,0,11,3,0,0,0,25,26,['niger'],"['q3', '2021']",269
139.0,ogun,q3 2021,253,0,6,19,2,1,1,10,5,0,12,0,0,2,0,0,0,['ogun'],"['q3', '2021']",311
140.0,ondo,q3 2021,72,0,2,1,4,0,1,11,12,5,4,1,0,0,0,0,0,['ondo'],"['q3', '2021']",113
141.0,osun,q3 2021,78,0,8,4,6,1,0,17,9,2,9,0,0,0,0,0,0,['osun'],"['q3', '2021']",134
142.0,oyo,q3 2021,88,1,14,4,11,0,0,18,6,2,7,1,0,0,0,4,3,['oyo'],"['q3', '2021']",159
143.0,plateau,q3 2021,23,0,4,5,15,0,0,9,10,0,0,2,0,0,0,0,2,['plateau'],"['q3', '2021']",70
144.0,rivers,q3 2021,16,0,2,0,2,0,0,6,4,0,5,0,0,0,0,0,0,['rivers'],"['q3', '2021']",35
145.0,sokoto,q3 2021,26,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,['sokoto'],"['q3', '2021']",33
146.0,taraba,q3 2021,18,0,0,0,0,1,0,6,15,0,2,0,4,0,0,0,20,['taraba'],"['q3', '2021']",66
147.0,yobe,q3 2021,33,0,14,0,0,2,0,8,7,0,1,0,0,0,0,0,1,['yobe'],"['q3', '2021']",66
148.0,zamfara,q3 2021,9,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,2,['zamfara'],"['q3', '2021']",21
149.0,abia,q4 2021,8,0,2,0,7,0,0,2,1,0,2,0,0,0,0,2,0,['abia'],"['q4', '2021']",24
150.0,adamawa,q4 2021,62,0,4,0,0,0,0,10,0,0,3,13,0,0,0,0,0,['adamawa'],"['q4', '2021']",92
151.0,akwa ibom,q4 2021,12,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,"['akwa', 'ibom']","['q4', '2021']",21
152.0,anambra,q4 2021,24,0,1,3,12,0,0,8,0,3,6,2,0,1,0,1,0,['anambra'],"['q4', '2021']",61
