state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens,period_tokens,cases_check_ok
132,katsina,15,3,0,18,98,33,131,138,q3 2021,['katsina'],"['q3', '2021']",True
133,kebbi,15,39,0,54,159,59,218,312,q3 2021,['kebbi'],"['q3', '2021']",True
134,kogi,22,59,14,95,280,42,322,786,q3 2021,['kogi'],"['q3', '2021']",True
135,kwara,9,55,14,78,255,21,276,551,q3 2021,['kwara'],"['q3', '2021']",True
136,lagos,29,76,36,141,233,41,274,689,q3 2021,['lagos'],"['q3', '2021']",True
137,nasarawa,27,148,37,212,535,33,568,921,q3 2021,['nasarawa'],"['q3', '2021']",True
138,niger,64,151,4,219,577,150,727,1227,q3 2021,['niger'],"['q3', '2021']",True
139,ogun,59,169,71,299,618,98,716,1889,q3 2021,['ogun'],"['q3', '2021']",True
140,ondo,31,62,3,96,251,51,302,580,q3 2021,['ondo'],"['q3', '2021']",True
141,osun,35,57,13,105,324,82,406,866,q3 2021,['osun'],"['q3', '2021']",True
142,oyo,34,93,10,137,344,58,402,888,q3 2021,['oyo'],"['q3', '2021']",True
143,plateau,13,56,8,77,249,25,274,417,q3 2021,['plateau'],"['q3', '2021']",True
144,rivers,8,17,6,31,88,23,111,208,q3 2021,['rivers'],"['q3', '2021']",True
145,sokoto,10,14,3,27,78,15,93,175,q3 2021,['sokoto'],"['q3', '2021']",True
146,taraba,2,43,0,45,128,3,131,211,q3 2021,['taraba'],"['q3', '2021']",True
147,yobe,21,29,5,55,292,41,333,502,q3 2021,['yobe'],"['q3', '2021']",True
148,zamfara,7,13,1,21,56,19,75,110,q3 2021,['zamfara'],"['q3', '2021']",True
149,abia,3,12,6,21,57,3,60,177,q4 2021,['abia'],"['q4', '2021']",True
150,adamawa,17,54,5,76,191,25,216,423,q4 2021,['adamawa'],"['q4', '2021']",True
151,akwa ibom,7,13,2,22,39,10,49,98,q4 2021,"['akwa', 'ibom']","['q4', '2021']",True
152,anambra,24,25,10,59,156,45,201,577,q4 2021,['anambra'],"['q4', '2021']",True
153,bauchi,64,149,4,217,882,156,1038,1600,q4 2021,['bauchi'],"['q4', '2021']",True
154,bayelsa,3,9,0,12,37,24,61,80,q4 2021,['bayelsa'],"['q4', '2021']",True
